Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Qualifier	Gene > Chromosome > Identifier	Gene > Chromosome Location > Start	Gene > Chromosome Location > End	Gene > Chromosome Location > Strand	Gene > Overlapping Features > Primary DBID	Gene > Overlapping Features > Systematic Name	Gene > Overlapping Features > Standard Name	Gene > Overlapping Features > Qualifier	Gene > Overlapping Features > Chromosome Location > Start	Gene > Overlapping Features > Chromosome Location > End	Gene > Overlapping Features > Chromosome Location > Strand
S000002826	YDR418W	RPL12B	Verified	chrIV	1301616	1302113	1	S000002825	YDR417C	""	Dubious	1301555	1301926	-1
S000002833	YDR425W	SNX41	Verified	chrIV	1320064	1321941	1	S000002834	YDR426C	""	Dubious	1321629	1322006	-1
S000002834	YDR426C	""	Dubious	chrIV	1321629	1322006	-1	S000002833	YDR425W	SNX41	Verified	1320064	1321941	1
S000002838	YDR430C	CYM1	Verified	chrIV	1325501	1328470	-1	S000002839	YDR431W	""	Dubious	1328390	1328701	1
S000002839	YDR431W	""	Dubious	chrIV	1328390	1328701	1	S000002838	YDR430C	CYM1	Verified	1325501	1328470	-1
S000002840	YDR432W	NPL3	Verified	chrIV	1328783	1330027	1	S000002841	YDR433W	""	Dubious	1329600	1330040	1
S000002841	YDR433W	""	Dubious	chrIV	1329600	1330040	1	S000002840	YDR432W	NPL3	Verified	1328783	1330027	1
S000002850	YDR442W	""	Dubious	chrIV	1345647	1346039	1	S000002851	YDR443C	SSN2	Verified	1345676	1349938	-1
S000002851	YDR443C	SSN2	Verified	chrIV	1345676	1349938	-1	S000002850	YDR442W	""	Dubious	1345647	1346039	1
S000002852	YDR444W	""	Uncharacterized	chrIV	1350290	1352353	1	S000002853	YDR445C	""	Dubious	1352182	1352589	-1
S000002853	YDR445C	""	Dubious	chrIV	1352182	1352589	-1	S000002852	YDR444W	""	Uncharacterized	1350290	1352353	1
S000002853	YDR445C	""	Dubious	chrIV	1352182	1352589	-1	S000006617	tK(CUU)D2	""	""	1352466	1352538	-1
S000002863	YDR455C	""	Dubious	chrIV	1367373	1367681	-1	S000002864	YDR456W	NHX1	Verified	1367485	1369386	1
S000002864	YDR456W	NHX1	Verified	chrIV	1367485	1369386	1	S000002863	YDR455C	""	Dubious	1367373	1367681	-1
S000002872	YDR464W	SPP41	Verified	chrIV	1388872	1393179	1	S000028614	YDR464C-A	""	Dubious	1392492	1392680	-1
S000002874	YDR466W	PKH3	Verified	chrIV	1395121	1397817	1	S000002875	YDR467C	""	Dubious	1397583	1397909	-1
S000002875	YDR467C	""	Dubious	chrIV	1397583	1397909	-1	S000002874	YDR466W	PKH3	Verified	1395121	1397817	1
S000002899	YDR491C	""	Dubious	chrIV	1434500	1434991	-1	S000002900	YDR492W	IZH1	Verified	1434924	1435874	1
S000002900	YDR492W	IZH1	Verified	chrIV	1434924	1435874	1	S000002899	YDR491C	""	Dubious	1434500	1434991	-1
S000002916	YDR508C	GNP1	Verified	chrIV	1466453	1468444	-1	S000002917	YDR509W	""	Dubious	1468226	1468573	1
S000002917	YDR509W	""	Dubious	chrIV	1468226	1468573	1	S000002916	YDR508C	GNP1	Verified	1466453	1468444	-1
S000002918	YDR510W	SMT3	Verified	chrIV	1469400	1469705	1	S000028615	YDR510C-A	""	Dubious	1469695	1469811	-1
S000002920	YDR512C	EMI1	Verified	chrIV	1470500	1471063	-1	S000002921	YDR513W	GRX2	Verified	1471017	1471448	1
S000002921	YDR513W	GRX2	Verified	chrIV	1471017	1471448	1	S000002920	YDR512C	EMI1	Verified	1470500	1471063	-1
S000002928	YDR520C	URC2	Uncharacterized	chrIV	1481085	1483403	-1	S000002929	YDR521W	""	Dubious	1483141	1483476	1
S000002929	YDR521W	""	Dubious	chrIV	1483141	1483476	1	S000002928	YDR520C	URC2	Uncharacterized	1481085	1483403	-1
S000002933	YDR525W	API2	Dubious	chrIV	1489905	1490234	1	S000028616	YDR524C-A	""	Dubious	1489871	1489990	-1
S000002934	YDR526C	""	Dubious	chrIV	1491075	1491545	-1	S000002935	YDR527W	RBA50	Verified	1491094	1492413	1
S000002935	YDR527W	RBA50	Verified	chrIV	1491094	1492413	1	S000002934	YDR526C	""	Dubious	1491075	1491545	-1
S000002945	YDR537C	""	Dubious	chrIV	1510856	1511461	-1	S000002946	YDR538W	PAD1	Verified	1510902	1511630	1
S000002946	YDR538W	PAD1	Verified	chrIV	1510902	1511630	1	S000002945	YDR537C	""	Dubious	1510856	1511461	-1
S000002953	YDR545W	YRF1-1	Verified	chrIV	1526321	1531711	1	S000028617	YDR545C-A	""	Dubious	1530863	1531342	-1
S000002955	YEL076C-A	""	Uncharacterized	chrV	4185	5114	-1	S000000802	YEL076C	""	Uncharacterized	4464	5114	-1
S000002955	YEL076C-A	""	Uncharacterized	chrV	4185	5114	-1	S000002956	YEL075W-A	""	Dubious	4870	5481	1
S000002956	YEL075W-A	""	Dubious	chrV	4870	5481	1	S000000801	YEL075C	""	Uncharacterized	5345	5713	-1
S000002956	YEL075W-A	""	Dubious	chrV	4870	5481	1	S000000802	YEL076C	""	Uncharacterized	4464	5114	-1
S000002956	YEL075W-A	""	Dubious	chrV	4870	5481	1	S000002955	YEL076C-A	""	Uncharacterized	4185	5114	-1
S000002959	YER066C-A	""	Dubious	chrV	291703	292203	-1	S000000869	YER067W	RGI1	Verified	292066	292551	1
S000002961	YER119C-A	""	Dubious	chrV	400867	401238	-1	S000000922	YER120W	SCS2	Verified	401135	401869	1
S000002962	YFL002W-A	""	""	chrVI	138204	143517	1	S000007404	YFL002W-B	""	""	138204	139520	1
S000002964	YFL012W-A	""	Dubious	chrVI	109810	110184	1	S000001881	YFL013C	IES1	Verified	107852	109930	-1
S000002982	YGL014W	PUF4	Verified	chrVII	466141	468807	1	S000028825	YGL014C-A	""	Dubious	466237	466398	-1
S000002992	YGL024W	""	Dubious	chrVII	449788	450123	1	S000002993	YGL025C	PGD1	Verified	448764	449957	-1
S000002993	YGL025C	PGD1	Verified	chrVII	448764	449957	-1	S000002992	YGL024W	""	Dubious	449788	450123	1
S000003009	YGL041C	""	Dubious	chrVII	419022	419225	-1	S000028826	YGL041W-A	""	Uncharacterized	418825	419289	1
S000003010	YGL042C	""	Dubious	chrVII	418288	418593	-1	S000003011	YGL043W	DST1	Verified	417483	418412	1
S000003011	YGL043W	DST1	Verified	chrVII	417483	418412	1	S000003010	YGL042C	""	Dubious	418288	418593	-1
S000003019	YGL051W	MST27	Verified	chrVII	403687	404391	1	S000003020	YGL052W	""	Dubious	403437	403742	1
S000003020	YGL052W	""	Dubious	chrVII	403437	403742	1	S000003019	YGL051W	MST27	Verified	403687	404391	1
S000003031	YGL063W	PUS2	Verified	chrVII	383654	384766	1	S000028633	YGL063C-A	""	Dubious	384502	384651	-1
S000003036	YGL068W	MNP1	Verified	chrVII	375087	375671	1	S000003037	YGL069C	""	Dubious	375050	375514	-1
S000003037	YGL069C	""	Dubious	chrVII	375050	375514	-1	S000003036	YGL068W	MNP1	Verified	375087	375671	1
S000003040	YGL072C	""	Dubious	chrVII	371003	371362	-1	S000003041	YGL073W	HSF1	Verified	368753	371254	1
S000003041	YGL073W	HSF1	Verified	chrVII	368753	371254	1	S000003040	YGL072C	""	Dubious	371003	371362	-1
S000003041	YGL073W	HSF1	Verified	chrVII	368753	371254	1	S000003042	YGL074C	""	Dubious	368596	368922	-1
S000003042	YGL074C	""	Dubious	chrVII	368596	368922	-1	S000003041	YGL073W	HSF1	Verified	368753	371254	1
S000003044	YGL076C	RPL7A	Verified	chrVII	364335	365996	-1	S000007302	snR39	SNR39	""	365163	365251	-1
S000003056	YGL088W	""	Dubious	chrVII	345836	346201	1	S000007499	snR10	SNR10	""	345986	346230	1
S000003070	YGL102C	""	Dubious	chrVII	311505	311933	-1	S000003071	YGL103W	RPL28	Verified	310967	311927	1
S000003071	YGL103W	RPL28	Verified	chrVII	310967	311927	1	S000003070	YGL102C	""	Dubious	311505	311933	-1
S000003076	YGL108C	""	Verified	chrVII	303649	304071	-1	S000003077	YGL109W	""	Dubious	303513	303836	1
S000003077	YGL109W	""	Dubious	chrVII	303513	303836	1	S000003076	YGL108C	""	Verified	303649	304071	-1
S000003091	YGL123W	RPS2	Verified	chrVII	277617	278381	1	S000028634	YGL123C-A	""	Dubious	277634	277864	-1
S000003099	YGL131C	SNT2	Verified	chrVII	261648	265859	-1	S000003100	YGL132W	""	Dubious	261580	261915	1
S000003100	YGL132W	""	Dubious	chrVII	261580	261915	1	S000003099	YGL131C	SNT2	Verified	261648	265859	-1
S000003117	YGL149W	""	Dubious	chrVII	225572	225877	1	S000003118	YGL150C	INO80	Verified	221104	225573	-1
S000003118	YGL150C	INO80	Verified	chrVII	221104	225573	-1	S000003117	YGL149W	""	Dubious	225572	225877	1
S000003120	YGL152C	""	Dubious	chrVII	216692	217369	-1	S000003121	YGL153W	PEX14	Verified	216273	217298	1
S000003121	YGL153W	PEX14	Verified	chrVII	216273	217298	1	S000003120	YGL152C	""	Dubious	216692	217369	-1
S000003133	YGL165C	""	Dubious	chrVII	191398	191976	-1	S000003134	YGL166W	CUP2	Verified	191129	191806	1
S000003134	YGL166W	CUP2	Verified	chrVII	191129	191806	1	S000003133	YGL165C	""	Dubious	191398	191976	-1
S000003135	YGL167C	PMR1	Verified	chrVII	187616	190468	-1	S000003136	YGL168W	HUR1	Verified	187464	187796	1
S000003136	YGL168W	HUR1	Verified	chrVII	187464	187796	1	S000003135	YGL167C	PMR1	Verified	187616	190468	-1
S000003145	YGL177W	""	Dubious	chrVII	167559	167906	1	S000003146	YGL178W	MPT5	Verified	167352	170571	1
S000003146	YGL178W	MPT5	Verified	chrVII	167352	170571	1	S000003145	YGL177W	""	Dubious	167559	167906	1
S000003150	YGL182C	""	Dubious	chrVII	157273	157596	-1	S000003151	YGL183C	MND1	Verified	156543	157285	-1
S000003151	YGL183C	MND1	Verified	chrVII	156543	157285	-1	S000003150	YGL182C	""	Dubious	157273	157596	-1
S000003160	YGL192W	IME4	Verified	chrVII	142246	144048	1	S000144908	RME2	RME2	""	141898	144120	-1
S000003161	YGL193C	""	Uncharacterized	chrVII	141916	142227	-1	S000144908	RME2	RME2	""	141898	144120	-1
S000003166	YGL198W	YIP4	Verified	chrVII	123591	124298	1	S000003167	YGL199C	""	Dubious	123572	124042	-1
S000003167	YGL199C	""	Dubious	chrVII	123572	124042	-1	S000003166	YGL198W	YIP4	Verified	123591	124298	1
S000003181	YGL213C	SKI8	Verified	chrVII	90054	91247	-1	S000003182	YGL214W	""	Dubious	90010	90495	1
S000003182	YGL214W	""	Dubious	chrVII	90010	90495	1	S000003181	YGL213C	SKI8	Verified	90054	91247	-1
S000003184	YGL216W	KIP3	Verified	chrVII	84885	87302	1	S000003185	YGL217C	""	Dubious	84839	85180	-1
S000003185	YGL217C	""	Dubious	chrVII	84839	85180	-1	S000003184	YGL216W	KIP3	Verified	84885	87302	1
S000003186	YGL218W	""	Dubious	chrVII	83650	84300	1	S000003187	YGL219C	MDM34	Verified	82878	84257	-1
S000003187	YGL219C	MDM34	Verified	chrVII	82878	84257	-1	S000003186	YGL218W	""	Dubious	83650	84300	1
S000003204	YGL235W	""	Uncharacterized	chrVII	55279	55815	1	S000003205	YGL236C	MTO1	Verified	53787	55796	-1
S000003205	YGL236C	MTO1	Verified	chrVII	53787	55796	-1	S000003204	YGL235W	""	Uncharacterized	55279	55815	1
S000003207	YGL238W	CSE1	Verified	chrVII	49552	52434	1	S000003208	YGL239C	""	Dubious	49431	49745	-1
S000003208	YGL239C	""	Dubious	chrVII	49431	49745	-1	S000003207	YGL238W	CSE1	Verified	49552	52434	1
S000003218	YGL249W	ZIP2	Verified	chrVII	33098	35212	1	S000144910	RME3	RME3	""	33109	35013	-1
S000003242	YGR010W	NMA2	Verified	chrVII	511545	512732	1	S000003243	YGR011W	""	Dubious	512497	512823	1
S000003243	YGR011W	""	Dubious	chrVII	512497	512823	1	S000003242	YGR010W	NMA2	Verified	511545	512732	1
S000003249	YGR017W	""	Uncharacterized	chrVII	523787	524680	1	S000003250	YGR018C	""	Uncharacterized	524365	524694	-1
S000003250	YGR018C	""	Uncharacterized	chrVII	524365	524694	-1	S000003249	YGR017W	""	Uncharacterized	523787	524680	1
S000003254	YGR022C	""	Dubious	chrVII	529257	529586	-1	S000003255	YGR023W	MTL1	Verified	529264	530919	1
S000003255	YGR023W	MTL1	Verified	chrVII	529264	530919	1	S000003254	YGR022C	""	Dubious	529257	529586	-1
S000003263	YGR031W	IMO32	Verified	chrVII	546441	547469	1	S000028636	YGR031C-A	NAG1	Verified	546809	547300	-1
S000003295	YGR063C	SPT4	Verified	chrVII	617516	617824	-1	S000003296	YGR064W	""	Dubious	617621	617989	1
S000003296	YGR064W	""	Dubious	chrVII	617621	617989	1	S000003295	YGR063C	SPT4	Verified	617516	617824	-1
S000003300	YGR068C	ART5	Verified	chrVII	625324	627084	-1	S000003301	YGR069W	""	Dubious	627083	627418	1
S000003300	YGR068C	ART5	Verified	chrVII	625324	627084	-1	S000028637	YGR068W-A	""	Dubious	626294	626389	1
S000003301	YGR069W	""	Dubious	chrVII	627083	627418	1	S000003300	YGR068C	ART5	Verified	625324	627084	-1
S000003305	YGR073C	""	Dubious	chrVII	635615	635986	-1	S000003306	YGR074W	SMD1	Verified	635712	636152	1
S000003306	YGR074W	SMD1	Verified	chrVII	635712	636152	1	S000003305	YGR073C	""	Dubious	635615	635986	-1
S000003306	YGR074W	SMD1	Verified	chrVII	635712	636152	1	S000003307	YGR075C	PRP38	Verified	636147	636875	-1
S000003307	YGR075C	PRP38	Verified	chrVII	636147	636875	-1	S000003306	YGR074W	SMD1	Verified	635712	636152	1
S000003346	YGR114C	""	Dubious	chrVII	720265	720654	-1	S000003347	YGR115C	""	Dubious	720372	721151	-1
S000003346	YGR114C	""	Dubious	chrVII	720265	720654	-1	S000003348	YGR116W	SPT6	Verified	720409	724764	1
S000003347	YGR115C	""	Dubious	chrVII	720372	721151	-1	S000003346	YGR114C	""	Dubious	720265	720654	-1
S000003347	YGR115C	""	Dubious	chrVII	720372	721151	-1	S000003348	YGR116W	SPT6	Verified	720409	724764	1
S000003348	YGR116W	SPT6	Verified	chrVII	720409	724764	1	S000003346	YGR114C	""	Dubious	720265	720654	-1
S000003348	YGR116W	SPT6	Verified	chrVII	720409	724764	1	S000003347	YGR115C	""	Dubious	720372	721151	-1
S000003368	YGR136W	LSB1	Verified	chrVII	762428	763153	1	S000003369	YGR137W	""	Dubious	762888	763262	1
S000003369	YGR137W	""	Dubious	chrVII	762888	763262	1	S000003368	YGR136W	LSB1	Verified	762428	763153	1
S000003383	YGR151C	""	Dubious	chrVII	794655	794990	-1	S000003384	YGR152C	RSR1	Verified	794674	795492	-1
S000003384	YGR152C	RSR1	Verified	chrVII	794674	795492	-1	S000003383	YGR151C	""	Dubious	794655	794990	-1
S000003391	YGR159C	NSR1	Verified	chrVII	806412	807656	-1	S000003392	YGR160W	""	Dubious	807073	807684	1
S000003392	YGR160W	""	Dubious	chrVII	807073	807684	1	S000003391	YGR159C	NSR1	Verified	806412	807656	-1
S000003396	YGR164W	""	Dubious	chrVII	828625	828960	1	S000006712	tR(UCU)G2	""	""	828723	828794	-1
S000003408	YGR176W	""	Dubious	chrVII	848720	849067	1	S000003409	YGR177C	ATF2	Verified	848829	850436	-1
S000003409	YGR177C	ATF2	Verified	chrVII	848829	850436	-1	S000003408	YGR176W	""	Dubious	848720	849067	1
S000003413	YGR181W	TIM13	Verified	chrVII	858287	858604	1	S000003414	YGR182C	""	Dubious	858551	858904	-1
S000003414	YGR182C	""	Dubious	chrVII	858551	858904	-1	S000003413	YGR181W	TIM13	Verified	858287	858604	1
S000003422	YGR190C	""	Dubious	chrVII	880296	880661	-1	S000003423	YGR191W	HIP1	Verified	880420	882231	1
S000003423	YGR191W	HIP1	Verified	chrVII	880420	882231	1	S000003422	YGR190C	""	Dubious	880296	880661	-1
S000003451	YGR219W	""	Dubious	chrVII	936035	936376	1	S000003452	YGR220C	MRPL9	Verified	936074	936883	-1
S000003452	YGR220C	MRPL9	Verified	chrVII	936074	936883	-1	S000003451	YGR219W	""	Dubious	936035	936376	1
S000003457	YGR225W	AMA1	Verified	chrVII	945145	947019	1	S000003458	YGR226C	""	Dubious	946792	947001	-1
S000003458	YGR226C	""	Dubious	chrVII	946792	947001	-1	S000003457	YGR225W	AMA1	Verified	945145	947019	1
S000003460	YGR228W	""	Dubious	chrVII	949365	949709	1	S000003461	YGR229C	SMI1	Verified	949382	950899	-1
S000003461	YGR229C	SMI1	Verified	chrVII	949382	950899	-1	S000003460	YGR228W	""	Dubious	949365	949709	1
S000003473	YGR241C	YAP1802	Verified	chrVII	974875	976581	-1	S000003474	YGR242W	""	Dubious	976415	976723	1
S000003474	YGR242W	""	Dubious	chrVII	976415	976723	1	S000003473	YGR241C	YAP1802	Verified	974875	976581	-1
S000003491	YGR259C	""	Dubious	chrVII	1012481	1012921	-1	S000003492	YGR260W	TNA1	Verified	1012485	1014089	1
S000003492	YGR260W	TNA1	Verified	chrVII	1012485	1014089	1	S000003491	YGR259C	""	Dubious	1012481	1012921	-1
S000003496	YGR264C	MES1	Verified	chrVII	1019598	1021853	-1	S000003497	YGR265W	""	Dubious	1021648	1022058	1
S000003497	YGR265W	""	Dubious	chrVII	1021648	1022058	1	S000003496	YGR264C	MES1	Verified	1019598	1021853	-1
S000003500	YGR268C	HUA1	Verified	chrVII	1026057	1026653	-1	S000003501	YGR269W	""	Dubious	1026636	1026962	1
S000003501	YGR269W	""	Dubious	chrVII	1026636	1026962	1	S000003500	YGR268C	HUA1	Verified	1026057	1026653	-1
S000003502	YGR270W	YTA7	Verified	chrVII	1027370	1031509	1	S000028641	YGR270C-A	""	Dubious	1027382	1027600	-1
S000003521	YGR289C	MAL11	Verified	chrVII	1073963	1075813	-1	S000003522	YGR290W	""	Dubious	1075482	1075925	1
S000003522	YGR290W	""	Dubious	chrVII	1075482	1075925	1	S000003521	YGR289C	MAL11	Verified	1073963	1075813	-1
S000003525	YGR293C	""	Dubious	chrVII	1079885	1080346	-1	S000003526	YGR294W	PAU12	Verified	1080306	1080668	1
S000003526	YGR294W	PAU12	Verified	chrVII	1080306	1080668	1	S000003525	YGR293C	""	Dubious	1079885	1080346	-1
S000003528	YGR296W	YRF1-3	Verified	chrVII	1084864	1090591	1	S000028642	YGR296C-A	""	Dubious	1088870	1089445	-1
S000003528	YGR296W	YRF1-3	Verified	chrVII	1084864	1090591	1	S000028643	YGR296C-B	""	Dubious	1089746	1090228	-1
S000003531	YHR021W-A	ECM12	Uncharacterized	chrVIII	149225	149680	1	S000001064	YHR022C	""	Uncharacterized	149575	150345	-1
S000003534	YHR214C-B	""	""	chrVIII	543964	549346	-1	S000007421	YHR214C-C	""	""	547910	549346	-1
S000003537	YIL082W-A	""	""	chrIX	205635	210132	1	S000001344	YIL082W	""	Dubious	205635	206507	1
S000003544	YJL007C	""	Dubious	chrX	422698	423012	-1	S000006662	tM(CAU)J2	EMT3	""	422937	423009	1
S000003545	YJL008C	CCT8	Verified	chrX	419957	421663	-1	S000003546	YJL009W	""	Dubious	419855	420181	1
S000003546	YJL009W	""	Dubious	chrX	419855	420181	1	S000003545	YJL008C	CCT8	Verified	419957	421663	-1
S000003552	YJL015C	""	Dubious	chrX	407142	407426	-1	S000003553	YJL016W	""	Uncharacterized	405588	407273	1
S000003553	YJL016W	""	Uncharacterized	chrX	405588	407273	1	S000003552	YJL015C	""	Dubious	407142	407426	-1
S000003557	YJL020C	BBC1	Verified	chrX	398937	402410	-1	S000028659	YJL020W-A	""	Dubious	400981	401238	1
S000003559	YJL022W	""	Dubious	chrX	398109	398417	1	S000003560	YJL023C	PET130	Verified	397355	398398	-1
S000003560	YJL023C	PET130	Verified	chrX	397355	398398	-1	S000003559	YJL022W	""	Dubious	398109	398417	1
S000003563	YJL026W	RNR2	Verified	chrX	392404	393603	1	S000028660	YJL026C-A	""	Dubious	393066	393287	-1
S000003568	YJL031C	BET4	Verified	chrX	386368	387438	-1	S000003569	YJL032W	""	Dubious	386348	386662	1
S000003569	YJL032W	""	Dubious	chrX	386348	386662	1	S000003568	YJL031C	BET4	Verified	386368	387438	-1
S000003600	YJL064W	""	Dubious	chrX	315175	315570	1	S000003601	YJL065C	DLS1	Verified	315054	315557	-1
S000003601	YJL065C	DLS1	Verified	chrX	315054	315557	-1	S000003600	YJL064W	""	Dubious	315175	315570	1
S000003602	YJL066C	MPM1	Verified	chrX	314114	314872	-1	S000003603	YJL067W	""	Dubious	314084	314434	1
S000003603	YJL067W	""	Dubious	chrX	314084	314434	1	S000003602	YJL066C	MPM1	Verified	314114	314872	-1
S000003611	YJL075C	APQ13	Dubious	chrX	298460	298876	-1	S000003612	YJL076W	NET1	Verified	295245	298814	1
S000003612	YJL076W	NET1	Verified	chrX	295245	298814	1	S000003611	YJL075C	APQ13	Dubious	298460	298876	-1
S000003613	YJL077C	ICS3	Verified	chrX	294666	295061	-1	S000028661	YJL077W-A	""	Uncharacterized	294799	294885	1
S000003621	YJL085W	EXO70	Verified	chrX	272827	274698	1	S000003622	YJL086C	""	Dubious	272478	272846	-1
S000003622	YJL086C	""	Dubious	chrX	272478	272846	-1	S000003621	YJL085W	EXO70	Verified	272827	274698	1
S000003622	YJL086C	""	Dubious	chrX	272478	272846	-1	S000003623	YJL087C	TRL1	Verified	270002	272485	-1
S000003623	YJL087C	TRL1	Verified	chrX	270002	272485	-1	S000003622	YJL086C	""	Dubious	272478	272846	-1
S000003643	YJL107C	""	Uncharacterized	chrX	218853	220016	-1	S000003644	YJL108C	PRM10	Verified	217705	218856	-1
S000003644	YJL108C	PRM10	Verified	chrX	217705	218856	-1	S000003643	YJL107C	""	Uncharacterized	218853	220016	-1
S000003654	YJL118W	""	Verified	chrX	191639	192298	1	S000003655	YJL119C	""	Dubious	191572	191895	-1
S000003655	YJL119C	""	Dubious	chrX	191572	191895	-1	S000003654	YJL118W	""	Verified	191639	192298	1
S000003656	YJL120W	""	Dubious	chrX	191022	191345	1	S000003657	YJL121C	RPE1	Verified	190374	191090	-1
S000003657	YJL121C	RPE1	Verified	chrX	190374	191090	-1	S000003656	YJL120W	""	Dubious	191022	191345	1
S000003670	YJL134W	LCB3	Verified	chrX	158188	159417	1	S000003671	YJL135W	""	Dubious	157877	158194	1
S000003671	YJL135W	""	Dubious	chrX	157877	158194	1	S000003670	YJL134W	LCB3	Verified	158188	159417	1
S000003677	YJL141C	YAK1	Verified	chrX	147967	150390	-1	S000003678	YJL142C	IRC9	Dubious	147819	148211	-1
S000003678	YJL142C	IRC9	Dubious	chrX	147819	148211	-1	S000003677	YJL141C	YAK1	Verified	147967	150390	-1
S000003685	YJL149W	DAS1	Verified	chrX	137379	139370	1	S000003686	YJL150W	""	Dubious	137123	137425	1
S000003686	YJL150W	""	Dubious	chrX	137123	137425	1	S000003685	YJL149W	DAS1	Verified	137379	139370	1
S000003687	YJL151C	SNA3	Verified	chrX	136372	136773	-1	S000003688	YJL152W	""	Dubious	136174	136533	1
S000003688	YJL152W	""	Dubious	chrX	136174	136533	1	S000003687	YJL151C	SNA3	Verified	136372	136773	-1
S000003704	YJL168C	SET2	Verified	chrX	102227	104428	-1	S000003705	YJL169W	""	Dubious	102099	102467	1
S000003705	YJL169W	""	Dubious	chrX	102099	102467	1	S000003704	YJL168C	SET2	Verified	102227	104428	-1
S000003711	YJL175W	""	Dubious	chrX	94049	94561	1	S000003712	YJL176C	SWI3	Verified	92053	94530	-1
S000003712	YJL176C	SWI3	Verified	chrX	92053	94530	-1	S000003711	YJL175W	""	Dubious	94049	94561	1
S000003717	YJL181W	""	Uncharacterized	chrX	85660	87495	1	S000003718	YJL182C	""	Dubious	85435	85752	-1
S000003718	YJL182C	""	Dubious	chrX	85435	85752	-1	S000003717	YJL181W	""	Uncharacterized	85660	87495	1
S000003724	YJL188C	BUD19	Dubious	chrX	76202	76510	-1	S000003725	YJL189W	RPL39	Verified	75933	76474	1
S000003725	YJL189W	RPL39	Verified	chrX	75933	76474	1	S000003724	YJL188C	BUD19	Dubious	76202	76510	-1
S000003730	YJL194W	CDC6	Verified	chrX	69338	70879	1	S000003731	YJL195C	""	Dubious	69241	69942	-1
S000003731	YJL195C	""	Dubious	chrX	69241	69942	-1	S000003730	YJL194W	CDC6	Verified	69338	70879	1
S000003733	YJL197W	UBP12	Verified	chrX	63805	67569	1	S000028839	YJL197C-A	""	Dubious	65805	66086	-1
S000003738	YJL202C	""	Dubious	chrX	53943	54290	-1	S000003739	YJL203W	PRP21	Verified	53341	54183	1
S000003739	YJL203W	PRP21	Verified	chrX	53341	54183	1	S000003738	YJL202C	""	Dubious	53943	54290	-1
S000003746	YJL210W	PEX2	Verified	chrX	36919	37734	1	S000003747	YJL211C	""	Dubious	36757	37200	-1
S000003747	YJL211C	""	Dubious	chrX	36757	37200	-1	S000003746	YJL210W	PEX2	Verified	36919	37734	1
S000003756	YJL220W	""	Dubious	chrX	18243	18695	1	S000003757	YJL221C	IMA4	Verified	16767	18536	-1
S000003757	YJL221C	IMA4	Verified	chrX	16767	18536	-1	S000003756	YJL220W	""	Dubious	18243	18695	1
S000003760	YJL225C	""	Uncharacterized	chrX	466	6130	-1	S000028665	YJL225W-A	""	Dubious	829	1311	1
S000003773	YJR012C	""	Uncharacterized	chrX	459795	460418	-1	S000003774	YJR013W	GPI14	Verified	460382	461593	1
S000003774	YJR013W	GPI14	Verified	chrX	460382	461593	1	S000003773	YJR012C	""	Uncharacterized	459795	460418	-1
S000003778	YJR017C	ESS1	Verified	chrX	466521	467033	-1	S000003779	YJR018W	""	Dubious	466786	467148	1
S000003779	YJR018W	""	Dubious	chrX	466786	467148	1	S000003778	YJR017C	ESS1	Verified	466521	467033	-1
S000003780	YJR019C	TES1	Verified	chrX	467232	468281	-1	S000003781	YJR020W	""	Dubious	468001	468333	1
S000003781	YJR020W	""	Dubious	chrX	468001	468333	1	S000003780	YJR019C	TES1	Verified	467232	468281	-1
S000003783	YJR022W	LSM8	Verified	chrX	469784	470113	1	S000003784	YJR023C	""	Dubious	469804	470205	-1
S000003784	YJR023C	""	Dubious	chrX	469804	470205	-1	S000003783	YJR022W	LSM8	Verified	469784	470113	1
S000003787	YJR026W	""	""	chrX	472760	474082	1	S000003788	YJR027W	""	""	472760	478028	1
S000003788	YJR027W	""	""	chrX	472760	478028	1	S000003787	YJR026W	""	""	472760	474082	1
S000003789	YJR028W	""	""	chrX	478344	479666	1	S000003790	YJR029W	""	""	478344	483612	1
S000003790	YJR029W	""	""	chrX	478344	483612	1	S000003789	YJR028W	""	""	478344	479666	1
S000003797	YJR036C	HUL4	Verified	chrX	500713	503391	-1	S000003798	YJR037W	""	Dubious	503102	503485	1
S000003798	YJR037W	""	Dubious	chrX	503102	503485	1	S000003797	YJR036C	HUL4	Verified	500713	503391	-1
S000003799	YJR038C	""	Dubious	chrX	503710	504072	-1	S000003800	YJR039W	""	Uncharacterized	503936	507301	1
S000003800	YJR039W	""	Uncharacterized	chrX	503936	507301	1	S000003799	YJR038C	""	Dubious	503710	504072	-1
S000003831	YJR070C	LIA1	Verified	chrX	569621	570598	-1	S000003832	YJR071W	""	Dubious	570405	570773	1
S000003832	YJR071W	""	Dubious	chrX	570405	570773	1	S000003831	YJR070C	LIA1	Verified	569621	570598	-1
S000003839	YJR078W	BNA2	Verified	chrX	578860	580221	1	S000003840	YJR079W	""	Uncharacterized	580205	581239	1
S000003840	YJR079W	""	Uncharacterized	chrX	580205	581239	1	S000003839	YJR078W	BNA2	Verified	578860	580221	1
S000003840	YJR079W	""	Uncharacterized	chrX	580205	581239	1	S000003841	YJR080C	AIM24	Verified	580432	581616	-1
